Model_Type,Hidden_Layers,Activation,Solver,Alpha,Learning_Rate_Init,Learning_Rate,Bagging_Estimators,Bagging_Samples,Train_Score,Valid_Score
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9608030592734226,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.0001,0.1,constant,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9617590822179732,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.0001,0.1,constant,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9426386233269598,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.0001,0.1,constant,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9550669216061185,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.0001,0.1,constant,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9684512428298279,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9435946462715105,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9445506692160612,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9502868068833652,0.8854961832061069
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9416826003824091,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9608030592734226,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9617590822179732,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9426386233269598,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9550669216061185,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.0001,0.1,adaptive,N/A,N/A,0.9416826003824091,0.8778625954198473
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9684512428298279,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.847036328871893,0.8091603053435115
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9139579349904398,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9196940726577438,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.8690248565965584,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9053537284894837,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9168260038240917,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8814531548757171,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9091778202676865,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.001,0.001,constant,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9206500956022945,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.847036328871893,0.8091603053435115
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9139579349904398,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9196940726577438,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.8690248565965584,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9053537284894837,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9168260038240917,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8814531548757171,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9091778202676865,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.001,0.001,adaptive,N/A,N/A,0.9330783938814532,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9206500956022945,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9216061185468452,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9531548757170172,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9455066921606119,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9340344168260039,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9550669216061185,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9560229445506692,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9273422562141491,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9502868068833652,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.001,0.01,constant,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9569789674952199,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9216061185468452,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9531548757170172,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9455066921606119,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9340344168260039,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9550669216061185,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9560229445506692,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9273422562141491,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9502868068833652,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.001,0.01,adaptive,N/A,N/A,0.9263862332695985,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9569789674952199,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9216061185468452,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9512428298279159,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9608030592734226,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9311663479923518,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9550669216061185,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9627151051625239,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9292543021032504,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9550669216061185,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.1,constant,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9646271510516252,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9216061185468452,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9512428298279159,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9608030592734226,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9311663479923518,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9550669216061185,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9627151051625239,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9292543021032504,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9550669216061185,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.001,0.1,adaptive,N/A,N/A,0.9445506692160612,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9646271510516252,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.8479923518164436,0.8206106870229007
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9120458891013384,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9187380497131931,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.8632887189292543,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9063097514340345,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9149139579349904,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8776290630975143,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9072657743785851,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.01,0.001,constant,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9196940726577438,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.8479923518164436,0.8206106870229007
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9120458891013384,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9187380497131931,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.8632887189292543,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9063097514340345,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9149139579349904,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8776290630975143,0.8435114503816794
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9072657743785851,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.01,0.001,adaptive,N/A,N/A,0.9340344168260039,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9196940726577438,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9206500956022945,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9521988527724665,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9445506692160612,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9340344168260039,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9541108986615678,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9569789674952199,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9263862332695985,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9512428298279159,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.01,0.01,constant,N/A,N/A,0.9617590822179732,0.8282442748091603
